,city,lat,lon,freq,text
0,Mumbai,19.07283,72.88261,469,Mumbai<br>469
1,Noida,28.58,77.33,30,Noida<br>30
3,Kottayam,9.58692,76.52132,2,Kottayam<br>2
4,New Delhi,28.63576,77.22445,81,New Delhi<br>81
5,Coimbatore,11.00555,76.96612,4,Coimbatore<br>4
6,Haveli,30.45016,73.69888,11,Haveli<br>11
9,Bengaluru,12.97194,77.59369,8,Bengaluru<br>8
10,Kolkata,22.56263,88.36304,6,Kolkata<br>6
11,Kollam,8.88113,76.58469,3,Kollam<br>3
28,Vapi,20.37175,72.90493,5,Vapi<br>5
29,Daman,20.41431,72.83236,3,Daman<br>3
31,Pune,18.51957,73.85535,6,Pune<br>6
33,Navi Mumbai,19.03681,73.01582,32,Navi Mumbai<br>32
45,Ulhasnagar,19.21667,73.15,3,Ulhasnagar<br>3
46,Mangalore,12.91723,74.85603,2,Mangalore<br>2
50,Jaipur,26.91962,75.78781,3,Jaipur<br>3
56,Chennai,13.08784,80.27847,3,Chennai<br>3
61,Indore,22.71792,75.8333,2,Indore<br>2
62,Panaji,15.49574,73.82624,4,Panaji<br>4
74,Hyderabad,25.39242,68.37366,1,Hyderabad<br>1
76,Dubai,25.0657,55.17128,1,Dubai<br>1
97,Jodhpur,26.26841,73.00594,1,Jodhpur<br>1
106,Jamaica,40.69149,-73.80569,2,Jamaica<br>2
123,Ankleshwar,21.63236,72.99001,1,Ankleshwar<br>1
125,Mysore,12.29791,76.63925,1,Mysore<br>1
150,Nottingham,52.9536,-1.15047,1,Nottingham<br>1
155,Brisbane,-27.46794,153.02809,1,Brisbane<br>1
188,Ranchi,23.34316,85.3094,4,Ranchi<br>4
194,Nashik,19.99727,73.79096,3,Nashik<br>3
197,Melbourne,28.08363,-80.60811,1,Melbourne<br>1
207,Powai,19.1164,72.90471,1,Powai<br>1
213,Jammu,32.73569,74.86911,1,Jammu<br>1
254,Belgaum,15.85212,74.50447,1,Belgaum<br>1
255,Panvel,18.98878,73.11013,3,Panvel<br>3
284,Dindori,22.94141,81.07975,1,Dindori<br>1
315,Goa,13.6978,123.4892,1,Goa<br>1
334,Iowa City,41.66113,-91.53017,1,Iowa City<br>1
462,Adelaide,-34.92866,138.59863,1,Adelaide<br>1
489,Boston,52.97633,-0.02664,1,Boston<br>1
520,Boisar,19.80362,72.75598,1,Boisar<br>1
521,Jalgaon,21.00292,75.56602,1,Jalgaon<br>1
533,Bilimora,20.76957,72.96134,1,Bilimora<br>1
557,Palwal,28.14469,77.32546,2,Palwal<br>2
581,Guwahati,26.1844,91.7458,2,Guwahati<br>2
607,Kota,25.18254,75.83907,1,Kota<br>1
625,Tinsukia,27.48905,95.35992,1,Tinsukia<br>1
639,Bhopal,23.25469,77.40289,1,Bhopal<br>1
692,San Francisco,-31.42797,-62.08266,1,San Francisco<br>1
702,Gurgaon,28.4601,77.02635,1,Gurgaon<br>1
710,Tirukkoyilur,11.9662,79.20259,1,Tirukkoyilur<br>1
711,Dharmapuri,12.1277,78.15794,1,Dharmapuri<br>1
