,city,lat,lon,freq
0,Mumbai,19.07283,72.88261,16
1,Gurgaon,28.4601,77.02635,8
2,Agartala,23.83605,91.27939,1
3,New Delhi,28.63576,77.22445,42
4,Haveli,30.45016,73.69888,4
9,Dubai,25.0657,55.17128,4
18,Davis,38.54491,-121.74052,1
23,Doha,25.27932,51.52245,1
32,Noida,28.58,77.33,7
37,Tallinn,59.43696,24.75353,1
48,Camberwell,-37.84205,145.0694,1
51,Greater Noida,28.49615,77.53601,1
55,Bentonville,36.37285,-94.20882,1
58,Bhopal,23.25469,77.40289,1
60,Dammam,26.43442,50.10326,1
62,Mohali,30.67995,76.72211,1
66,Chandauli,25.25803,83.26825,1
68,Jaipur,26.91962,75.78781,2
69,Barking,51.53333,0.08333,1
71,Chengalpattu,12.69274,79.9773,1
73,Bengaluru,12.97194,77.59369,3
76,Kanpur,26.46523,80.34975,2
77,Hubli,15.34776,75.13378,1
78,Jatani,20.15975,85.70742,1
81,Ranchi,23.34316,85.3094,1
95,Kolkata,22.56263,88.36304,1
102,Chennai,13.08784,80.27847,1
103,Bhuj,23.25397,69.66928,1
105,Prospect Heights,42.0953,-87.93757,1
106,Tempe,33.41477,-111.90931,1
