,city,start_lat,start_lon,cnt,end_lat,end_lon
0,Noida,28.58,77.33,30,19.07283,72.88261
1,Kottayam,9.58692,76.52132,2,19.07283,72.88261
2,New Delhi,28.63576,77.22445,81,19.07283,72.88261
3,Coimbatore,11.00555,76.96612,4,19.07283,72.88261
4,Haveli,30.45016,73.69888,11,19.07283,72.88261
5,Bengaluru,12.97194,77.59369,8,19.07283,72.88261
6,Kolkata,22.56263,88.36304,6,19.07283,72.88261
7,Kollam,8.88113,76.58469,3,19.07283,72.88261
8,Vapi,20.37175,72.90493,5,19.07283,72.88261
9,Daman,20.41431,72.83236,3,19.07283,72.88261
10,Pune,18.51957,73.85535,6,19.07283,72.88261
11,Navi Mumbai,19.03681,73.01582,32,19.07283,72.88261
12,Ulhasnagar,19.21667,73.15,3,19.07283,72.88261
13,Mangalore,12.91723,74.85603,2,19.07283,72.88261
14,Jaipur,26.91962,75.78781,3,19.07283,72.88261
15,Chennai,13.08784,80.27847,3,19.07283,72.88261
16,Indore,22.71792,75.8333,2,19.07283,72.88261
17,Panaji,15.49574,73.82624,4,19.07283,72.88261
18,Hyderabad,25.39242,68.37366,1,19.07283,72.88261
19,Dubai,25.0657,55.17128,1,19.07283,72.88261
20,Jodhpur,26.26841,73.00594,1,19.07283,72.88261
21,Jamaica,40.69149,-73.80569,2,19.07283,72.88261
22,Ankleshwar,21.63236,72.99001,1,19.07283,72.88261
23,Mysore,12.29791,76.63925,1,19.07283,72.88261
24,Nottingham,52.9536,-1.15047,1,19.07283,72.88261
25,Brisbane,-27.46794,153.02809,1,19.07283,72.88261
26,Ranchi,23.34316,85.3094,4,19.07283,72.88261
27,Nashik,19.99727,73.79096,3,19.07283,72.88261
28,Melbourne,28.08363,-80.60811,1,19.07283,72.88261
29,Powai,19.1164,72.90471,1,19.07283,72.88261
30,Jammu,32.73569,74.86911,1,19.07283,72.88261
31,Belgaum,15.85212,74.50447,1,19.07283,72.88261
32,Panvel,18.98878,73.11013,3,19.07283,72.88261
33,Dindori,22.94141,81.07975,1,19.07283,72.88261
34,Goa,13.6978,123.4892,1,19.07283,72.88261
35,Iowa City,41.66113,-91.53017,1,19.07283,72.88261
36,Adelaide,-34.92866,138.59863,1,19.07283,72.88261
37,Boston,42.35843,-71.05977,1,19.07283,72.88261
38,Boisar,19.80362,72.75598,1,19.07283,72.88261
39,Jalgaon,21.00292,75.56602,1,19.07283,72.88261
40,Bilimora,20.76957,72.96134,1,19.07283,72.88261
41,Palwal,28.14469,77.32546,2,19.07283,72.88261
42,Guwahati,26.1844,91.7458,2,19.07283,72.88261
43,Kota,25.18254,75.83907,1,19.07283,72.88261
44,Tinsukia,27.48905,95.35992,1,19.07283,72.88261
45,Bhopal,23.25469,77.40289,1,19.07283,72.88261
46,San Francisco,15.35566,120.84001,1,19.07283,72.88261
47,Gurgaon,28.4601,77.02635,1,19.07283,72.88261
48,Tirukkoyilur,11.9662,79.20259,1,19.07283,72.88261
49,Dharmapuri,12.1277,78.15794,1,19.07283,72.88261
